virus	virusid	host	hostid	coronavirus
acerodon celebensis polyomavirus 1	26205236	acerodon celebensis	3491718	0
acerodon celebensis polyomavirus 2	26205240	acerodon celebensis	3491718	0
achimota pararubulavirus 1	27250094	eidolon helvum	3524418	0
achimota pararubulavirus 2	27250096	eidolon helvum	3524418	0
adelaide river ephemerovirus	3446981	bos indicus	3434103	0
adelaide river ephemerovirus	3446981	bos taurus	3434101	0
adelaide river ephemerovirus	3446981	bubalus bubalis	3546118	0
adelaide river ephemerovirus	3446981	bubalus carabanensis	3799968	0
adelaide river ephemerovirus	3446981	bubalus depressicornis	3441023	0
adelaide river ephemerovirus	3446981	syncerus caffer	3434174	0
adeno-associated dependoparvovirus a	26552295	capra hircus	3434115	0
adeno-associated dependoparvovirus a	26552295	homo sapiens	3433574	0
adeno-associated dependoparvovirus a	26552295	macaca mulatta	3433483	0
adeno-associated dependoparvovirus b	26552297	bos taurus	3434101	0
adeno-associated dependoparvovirus b	26552297	capra hircus	3434115	0
adeno-associated dependoparvovirus b	26552297	homo sapiens	3433574	0
adeno-associated virus	3736135	capra hircus	3434115	0
adeno-associated virus	3736135	homo sapiens	3433574	0
adeno-associated virus	3736135	macaca mulatta	3433483	0
adeno-associated virus	3736135	sus scrofa	3433956	0
adler hantavirus	26302996	microtus majori	3733465	0
african elephant endotheliolytic herpesvirus	3549764	loxodonta africana	3433889	0
african elephant endotheliolytic herpesvirus	3549764	loxodonta cyclotis	3564065	0
african green monkey polyomavirus	3437738	chlorocebus aethiops	3433463	0
african green monkey polyomavirus	3437738	chlorocebus cynosuros	3903022	0
african green monkey polyomavirus	3437738	chlorocebus djamdjamensis	25934055	0
african green monkey polyomavirus	3437738	chlorocebus pygerythrus	3496402	0
african green monkey polyomavirus	3437738	chlorocebus sabaeus	3496404	0
african green monkey polyomavirus	3437738	chlorocebus tantalus	3496406	0
african green monkey simian foamy virus	3792643	chlorocebus aethiops	3433463	0
african horse sickness virus	3460146	canis lupus familiaris	3433584	0
african horse sickness virus	3460146	ceratotherium simum	3433928	0
african horse sickness virus	3460146	diceros bicornis	3433924	0
african horse sickness virus	3460146	equus asinus	3433905	0
african horse sickness virus	3460146	equus asinus x caballus	24320964	0
african horse sickness virus	3460146	equus burchellii	3433899	0
african horse sickness virus	3460146	equus caballus	3433909	0
african horse sickness virus	3460146	equus zebra	3433901	0
african swine fever virus	3435001	hylochoerus meinertzhageni	24324561	0
african swine fever virus	3435001	phacochoerus aethiopicus	3539195	0
african swine fever virus	3435001	phacochoerus africanus	3462605	0
african swine fever virus	3435001	potamochoerus larvatus	3737206	0
african swine fever virus	3435001	potamochoerus porcus	3737205	0
african swine fever virus	3435001	sus scrofa	3433956	0
aichivirus a	3515363	canis adustus	3509500	0
aichivirus a	3515363	canis aureus	3509501	0
aichivirus a	3515363	canis lupus familiaris	3433584	0
aichivirus a	3515363	crocuta crocuta	3433694	0
aichivirus a	3515363	felis catus	3433706	0
aichivirus a	3515363	homo sapiens	3433574	0
aichivirus b	3665716	bos taurus	3434101	0
aichivirus b	3665716	capra hircus	3434115	0
aichivirus c	26310400	sus scrofa	3433956	0
aichivirus d	27724797	bos taurus	3434101	0
aichivirus d	27724797	capra hircus	3434115	0
aichivirus e	27190776	oryctolagus cuniculus	3434201	0
aichivirus f	26205228	miniopterus fuliginosus	3658570	0
aichivirus f	26205228	miniopterus schreibersii	3433300	0
aichivirus f	26205228	myotis altarium	3863063	0
aichivirus f	26205228	myotis bechsteinii	3494200	0
aichivirus f	26205228	myotis dasycneme	3632930	0
aichivirus f	26205228	myotis myotis	3479704	0
aichivirus f	26205228	myotis oxygnathus	3859431	0
aichivirus f	26205228	myotis ricketti	3673960	0
aichivirus f	26205228	nyctalus noctula	3479708	0
aichivirus f	26205228	nyctalus velutinus	3658574	0
aichivirus f	26205228	rhinolophus affinis	3494227	0
aichivirus f	26205228	rhinolophus blasii	3954103	0
aichivirus f	26205228	rhinolophus euryale	3581323	0
aichivirus f	26205228	rhinolophus ferrumequinum	3494231	0
aichivirus f	26205228	rhinolophus hipposideros	3524426	0
aichivirus f	26205228	rhinolophus lepidus	3659999	0
aichivirus f	26205228	rhinolophus sinicus	3546014	0
aichivirus f	26205228	vespertilio sinensis	3573905	0
aino orthobunyavirus	3436421	bos taurus	3434101	0
aino orthobunyavirus	3436421	bubalus bubalis	3546118	0
aino orthobunyavirus	3436421	camelus dromedarius	3433981	0
aino orthobunyavirus	3436421	capra hircus	3434115	0
aino orthobunyavirus	3436421	ovis aries	3434136	0
akabane orthobunyavirus	3512557	bison bison	3434090	0
akabane orthobunyavirus	3512557	bos taurus	3434101	0
akabane orthobunyavirus	3512557	capra hircus	3434115	0
akabane orthobunyavirus	3512557	ceratotherium simum	3433928	0
akabane orthobunyavirus	3512557	diceros bicornis	3433924	0
akabane orthobunyavirus	3512557	equus caballus	3433909	0
akabane orthobunyavirus	3512557	oryx leucoryx	3459038	0
akabane orthobunyavirus	3512557	ovis aries	3434136	0
akabane orthobunyavirus	3512557	rhizomys pruinosus	3483188	0
akabane orthobunyavirus	3512557	saiga tatarica	3451563	0
akabane orthobunyavirus	3512557	sus scrofa	3433956	0
akabane orthobunyavirus	3512557	tragelaphus angasii	3506322	0
alcelaphine gammaherpesvirus 1	3452140	alcelaphus buselaphus	3494305	0
alcelaphine gammaherpesvirus 1	3452140	alces alces	3434005	0
alcelaphine gammaherpesvirus 1	3452140	alces americanus	4250465	0
alcelaphine gammaherpesvirus 1	3452140	ammotragus lervia	3434086	0
alcelaphine gammaherpesvirus 1	3452140	antilocapra americana	3434070	0
alcelaphine gammaherpesvirus 1	3452140	axis axis	3445617	0
alcelaphine gammaherpesvirus 1	3452140	bison bison	3434090	0
alcelaphine gammaherpesvirus 1	3452140	bison bonasus	3434092	0
alcelaphine gammaherpesvirus 1	3452140	bos gaurus	3434096	0
alcelaphine gammaherpesvirus 1	3452140	bos grunniens	3445607	0
alcelaphine gammaherpesvirus 1	3452140	bos indicus	3434103	0
alcelaphine gammaherpesvirus 1	3452140	bos javanicus	3434098	0
alcelaphine gammaherpesvirus 1	3452140	bos taurus	3434101	0
alcelaphine gammaherpesvirus 1	3452140	boselaphus tragocamelus	3434107	0
alcelaphine gammaherpesvirus 1	3452140	bubalus bubalis	3546118	0
alcelaphine gammaherpesvirus 1	3452140	capra hircus	3434115	0
alcelaphine gammaherpesvirus 1	3452140	cervus duvaucelii	3465830	0
alcelaphine gammaherpesvirus 1	3452140	cervus elaphus	3434017	0
alcelaphine gammaherpesvirus 1	3452140	cervus nippon	3434021	0
alcelaphine gammaherpesvirus 1	3452140	connochaetes gnou	3494325	0
alcelaphine gammaherpesvirus 1	3452140	connochaetes taurinus	3434119	0
alcelaphine gammaherpesvirus 1	3452140	damaliscus lunatus	3434123	0
alcelaphine gammaherpesvirus 1	3452140	elaphurus davidianus	3465838	0
alcelaphine gammaherpesvirus 1	3452140	gazella gazella	3510394	0
alcelaphine gammaherpesvirus 1	3452140	kobus ellipsiprymnus	3434164	0
alcelaphine gammaherpesvirus 1	3452140	kobus leche	3494331	0
alcelaphine gammaherpesvirus 1	3452140	odocoileus hemionus	3434034	0
alcelaphine gammaherpesvirus 1	3452140	odocoileus virginianus	3434038	0
alcelaphine gammaherpesvirus 1	3452140	oreamnos americanus	3451559	0
alcelaphine gammaherpesvirus 1	3452140	oryx beisa	3798773	0
alcelaphine gammaherpesvirus 1	3452140	oryx dammah	3494336	0
alcelaphine gammaherpesvirus 1	3452140	oryx gazella	3434158	0
alcelaphine gammaherpesvirus 1	3452140	ovibos moschatus	3455253	0
alcelaphine gammaherpesvirus 1	3452140	syncerus caffer	3434174	0
alcelaphine gammaherpesvirus 1	3452140	tragelaphus spekii	3510386	0
alcelaphine gammaherpesvirus 1	3452140	tragelaphus strepsiceros	3434144	0
alcelaphine gammaherpesvirus 2	3613989	alcelaphus buselaphus	3494305	0
